,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
168,Darius Garland,CLE,2020,59,30.9,.401,.355,1.9,3.9,0.7,0.1,12.3,SG,8.5,.498,-5.6,-0.034,0
169,Marc Gasol,TOR,2020,44,26.4,.427,.385,6.3,3.3,0.8,0.9,7.5,C,11.8,.551,1.6,.124,1
170,Rudy Gay,SAS,2020,67,21.8,.446,.336,5.4,1.7,0.5,0.5,10.8,PF,15.4,.553,-0.8,.068,0
171,Paul George,LAC,2020,48,29.6,.439,.412,5.7,3.9,1.4,0.4,21.5,SF,21.1,.589,4.9,.161,1
172,Taj Gibson,NYK,2020,62,16.5,.584,.286,4.3,0.8,0.4,0.5,6.1,C,16.1,.610,-1.1,.120,0
173,Harry Giles,SAC,2020,46,14.5,.554,.000,4.1,1.3,0.5,0.4,6.9,C,16.4,.580,-1.3,.112,0
174,Shai Gilgeous-Alexander,OKC,2020,70,34.7,.471,.347,5.9,3.3,1.1,0.7,19.0,SG,17.7,.568,1.7,.121,1
175,Rudy Gobert,UTA,2020,68,34.3,.693,,13.5,1.5,0.8,2.0,15.1,C,21.7,.699,3.6,.221,1
176,Brandon Goodwin,ATL,2020,34,12.6,.400,.299,2.1,1.5,0.4,0.1,6.1,PG,11.6,.507,-2.9,.013,0
177,Aaron Gordon,ORL,2020,62,32.5,.437,.308,7.7,3.7,0.8,0.6,14.4,PF,15.1,.516,0.0,.087,1
178,Eric Gordon,HOU,2020,36,28.2,.369,.317,2.0,1.5,0.6,0.4,14.4,SF,10.3,.510,-3.9,.024,1
179,Devonte' Graham,CHO,2020,63,35.1,.382,.373,3.4,7.5,1.0,0.2,18.2,PG,15.8,.537,0.5,.073,0
180,Treveon Graham,TOT,2020,55,16.9,.360,.275,2.7,0.8,0.4,0.1,4.4,SF,6.6,.456,-5.6,.009,0
181,Jerami Grant,DEN,2020,71,26.6,.478,.389,3.5,1.2,0.7,0.8,12.0,PF,14.4,.591,-0.5,.111,1
182,Jerian Grant,WAS,2020,6,13.3,.370,.250,1.0,1.5,0.2,0.2,4.5,SG,6.6,.449,-6.8,-0.018,0
183,Josh Gray,NOP,2020,2,11.5,.500,,1.0,1.0,0.0,0.0,1.0,PG,-5.0,.500,-16.0,-0.226,0
184,Danny Green,LAL,2020,68,24.8,.416,.367,3.3,1.3,1.3,0.5,8.0,SG,10.8,.552,0.5,.096,1
185,Draymond Green,GSW,2020,43,28.4,.389,.279,6.2,6.2,1.4,0.8,8.0,PF,12.5,.489,-0.2,.044,0
186,JaMychal Green,LAC,2020,63,20.7,.429,.387,6.2,0.8,0.5,0.4,6.8,PF,11.1,.576,-0.5,.115,1
187,Javonte Green,BOS,2020,48,9.8,.500,.273,1.9,0.5,0.5,0.2,3.4,SG,13.1,.564,-0.7,.113,1
188,Jeff Green,TOT,2020,48,20.0,.462,.339,2.8,1.0,0.5,0.4,9.4,PF-C,13.7,.590,-0.1,.104,0
189,Blake Griffin,DET,2020,18,28.4,.352,.243,4.7,3.3,0.4,0.4,15.5,PF,11.9,.476,-4.3,-0.012,0
190,Marko Guduric,MEM,2020,44,11.0,.395,.301,1.7,1.0,0.3,0.2,3.9,SG,8.8,.514,-3.4,.014,0
191,Kyle Guy,SAC,2020,3,3.3,.400,.000,0.3,0.3,0.0,0.0,1.3,SG,6.6,.400,-12.3,-0.045,0
192,Rui Hachimura,WAS,2020,48,30.1,.466,.287,6.1,1.8,0.8,0.2,13.5,PF,13.5,.535,-3.2,.060,0
193,Devon Hall,OKC,2020,11,7.4,.200,.235,0.6,1.2,0.4,0.1,1.8,PG,3.1,.298,-6.4,-0.116,1
194,Donta Hall,TOT,2020,9,14.8,.682,,4.2,0.4,0.3,0.7,4.3,C-PF,13.6,.652,-3.7,.137,0
