,name,team,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,turnovers,points_per_game
290,Darko Miličić,Detroit Pistons,4.7,.262,.000,1.3,0.2,0.2,0.4,0.4,1.4
291,Tim Duncan,San Antonio Spurs,39.3,.513,.273,12.9,3.9,0.7,2.9,3.1,23.3
292,Tony Parker,San Antonio Spurs,33.8,.464,.337,2.6,5.3,0.9,0.0,2.4,15.5
293,Bruce Bowen,San Antonio Spurs,31.3,.466,.441,2.9,1.4,0.8,0.5,0.9,7.1
294,Stephen Jackson,San Antonio Spurs,28.2,.435,.320,3.6,2.3,1.6,0.4,2.2,11.8
295,David Robinson,San Antonio Spurs,26.2,.469,,7.9,1.0,0.8,1.7,1.3,8.5
296,Malik Rose,San Antonio Spurs,24.5,.459,.400,6.4,1.6,0.7,0.5,2.2,10.4
297,Manu Ginóbili,San Antonio Spurs,20.7,.438,.345,2.3,2.0,1.4,0.2,1.4,7.6
298,Steve Smith,San Antonio Spurs,19.5,.388,.331,1.9,1.3,0.5,0.2,0.8,6.8
299,Speedy Claxton,San Antonio Spurs,15.7,.462,.000,1.9,2.5,0.7,0.2,1.2,5.8
300,Steve Kerr,San Antonio Spurs,12.7,.430,.395,0.8,0.9,0.4,0.0,0.5,4.0
301,Kevin Willis,San Antonio Spurs,11.8,.479,.000,3.2,0.3,0.3,0.3,0.8,4.2
302,Danny Ferry,San Antonio Spurs,9.4,.355,.350,1.2,0.3,0.1,0.1,0.4,1.9
303,Anthony Goldwire,San Antonio Spurs,5.1,.278,.250,0.3,0.3,0.3,0.0,0.2,1.2
304,Mengke Bateer,San Antonio Spurs,3.8,.235,.333,0.8,0.3,0.0,0.0,0.5,0.8
305,Devin Brown,San Antonio Spurs,3.1,.500,,1.0,0.3,0.0,0.0,0.7,1.7
306,Kobe Bryant,Los Angeles Lakers,38.3,.469,.250,5.5,5.5,1.5,0.4,2.8,25.2
307,Shaquille O'Neal,Los Angeles Lakers,36.1,.579,.000,10.7,3.0,0.6,2.0,2.6,27.2
308,Derek Fisher,Los Angeles Lakers,28.2,.411,.413,2.1,2.6,0.9,0.1,0.9,11.2
309,Rick Fox,Los Angeles Lakers,27.9,.421,.313,4.7,3.5,0.8,0.3,1.6,7.9
310,Robert Horry,Los Angeles Lakers,26.4,.398,.374,5.9,2.9,1.0,1.1,1.1,6.8
311,Samaki Walker,Los Angeles Lakers,24.0,.512,,7.0,0.9,0.4,1.3,0.8,6.7
312,Devean George,Los Angeles Lakers,21.5,.411,.371,3.7,1.4,0.9,0.5,0.8,7.1
313,Lindsey Hunter,Los Angeles Lakers,19.7,.382,.380,1.5,1.6,0.8,0.2,0.7,5.8
314,Mitch Richmond,Los Angeles Lakers,11.1,.405,.290,1.5,0.9,0.3,0.1,0.6,4.1
