,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
465,Garrett Temple,BRK,2020,62,27.9,0.37799999999999995,0.32899999999999996,3.5,2.5,0.8,0.5,10.3,SG,10.5,0.513,-1.1,0.066,1
466,Daniel Theis,BOS,2020,65,24.1,0.5660000000000001,0.33299999999999996,6.6,1.7,0.6,1.3,9.2,C,17.9,0.631,2.4,0.201,1
467,Isaiah Thomas,WAS,2020,40,23.1,0.408,0.413,1.7,3.7,0.3,0.2,12.2,PG,11.6,0.531,-4.3,0.002,0
477,Gary Trent Jr.,POR,2020,61,21.8,0.444,0.418,1.6,1.0,0.8,0.3,8.9,SF,12.9,0.5870000000000001,-0.3,0.08900000000000001,1
482,Myles Turner,IND,2020,62,29.5,0.457,0.344,6.6,1.2,0.7,2.1,12.1,C,14.8,0.5660000000000001,0.1,0.111,1
484,Jonas Valančiūnas,MEM,2020,70,26.4,0.585,0.35200000000000004,11.3,1.9,0.4,1.1,14.9,C,22.2,0.631,2.4,0.182,0
506,Coby White,CHI,2020,65,25.8,0.39399999999999996,0.354,3.5,2.7,0.8,0.1,13.2,PG,11.9,0.506,-2.8,0.026000000000000002,0
507,Derrick White,SAS,2020,68,24.7,0.45799999999999996,0.366,3.3,3.5,0.6,0.9,11.3,SG,16.4,0.593,1.3,0.11900000000000001,0
512,Kenrich Williams,NOP,2020,39,21.3,0.34700000000000003,0.258,4.8,1.5,0.7,0.5,3.5,PF,7.5,0.429,-2.4,0.05,0
513,Lou Williams,LAC,2020,65,28.7,0.418,0.35200000000000004,3.1,5.6,0.7,0.2,18.2,PG,17.3,0.546,0.8,0.105,1
517,Zion Williamson,NOP,2020,24,27.8,0.583,0.429,6.3,2.1,0.7,0.4,22.5,PF,24.1,0.616,2.1,0.141,0
