,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
498,Brad Wanamaker,BOS,2020,71,19.3,0.44799999999999995,0.363,2.0,2.5,0.9,0.2,6.9,PG,12.8,0.5770000000000001,-0.6,0.124,1
502,Tremont Waters,BOS,2020,11,10.8,0.28600000000000003,0.16699999999999998,1.1,1.5,0.9,0.2,3.6,PG,4.3,0.381,-7.5,-0.10300000000000001,1
510,Grant Williams,BOS,2020,69,15.1,0.41200000000000003,0.25,2.6,1.0,0.4,0.5,3.4,PF,7.9,0.505,-2.7,0.071,1
511,Johnathan Williams,WAS,2020,15,12.0,0.5589999999999999,0.0,4.3,0.5,0.1,0.5,3.0,PF,14.0,0.5660000000000001,-2.2,0.109,0
514,Marvin Williams,TOT,2020,58,19.5,0.446,0.359,3.2,1.0,0.6,0.5,5.9,PF,11.2,0.5870000000000001,-0.6,0.102,0
515,Robert Williams,BOS,2020,29,13.4,0.727,0.0,4.4,0.9,0.8,1.2,5.2,C,23.1,0.728,5.1,0.253,1
527,Ante Žižić,CLE,2020,22,10.0,0.569,0.0,3.0,0.3,0.3,0.2,4.4,C,16.4,0.597,-3.2,0.106,0
528,Ivica Zubac,LAC,2020,72,18.4,0.613,0.0,7.5,1.1,0.2,0.9,8.3,C,21.7,0.6509999999999999,2.8,0.24100000000000002,1
529,Álex Abrines,OKC,2019,31,19.0,0.35700000000000004,0.32299999999999995,1.5,0.6,0.5,0.2,5.3,SG,6.3,0.507,-3.3,0.053,1
531,Jaylen Adams,ATL,2019,34,12.6,0.345,0.33799999999999997,1.8,1.9,0.4,0.1,3.2,PG,7.6,0.474,-4.3,0.011000000000000001,0
534,Deng Adel,CLE,2019,19,10.2,0.306,0.261,1.0,0.3,0.1,0.2,1.7,SF,2.7,0.424,-7.5,-0.054000000000000006,0
538,Grayson Allen,UTA,2019,38,10.9,0.376,0.32299999999999995,0.6,0.7,0.2,0.2,5.6,SG,7.5,0.516,-6.3,0.002,1
544,Ryan Anderson,TOT,2019,25,12.9,0.304,0.225,2.2,0.8,0.2,0.0,2.5,PF,4.6,0.414,-6.4,-0.035,0
554,Dwayne Bacon,CHO,2019,43,17.7,0.475,0.43700000000000006,2.1,1.1,0.3,0.1,7.3,SG,11.7,0.57,-3.7,0.073,0
556,Ron Baker,TOT,2019,15,10.1,0.2,0.077,0.7,1.0,0.4,0.1,0.9,SG,2.5,0.309,-7.0,-0.034,0
559,Mo Bamba,ORL,2019,47,16.3,0.48100000000000004,0.3,5.0,0.8,0.3,1.4,6.2,C,14.9,0.539,-1.4,0.106,1
