,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage
230,Isaiah Joe,PHI,2021,20,12.0,0.36700000000000005,0.38299999999999995,1.2,0.8,0.4,0.2,4.3,SG,9.7,0.53,-2.3,0.083
232,James Johnson,DAL,2021,28,17.5,0.46799999999999997,0.259,3.1,1.8,0.9,0.8,5.8,PF,12.4,0.53,0.4,0.067
234,Stanley Johnson,TOR,2021,32,13.8,0.392,0.4,2.2,1.3,0.8,0.3,2.9,PF,9.0,0.546,-1.3,0.068
235,Tyler Johnson,BRK,2021,18,13.9,0.389,0.41200000000000003,1.7,0.9,0.3,0.0,4.7,SG,9.9,0.5589999999999999,-3.4,0.071
239,Mason Jones,HOU,2021,22,11.1,0.43700000000000006,0.36700000000000005,2.1,1.3,0.3,0.0,5.5,SG,11.6,0.5760000000000001,-3.3,0.032
245,Frank Kaminsky,PHO,2021,27,15.9,0.467,0.419,3.9,1.7,0.3,0.4,7.3,C,16.4,0.5539999999999999,2.1,0.141
250,Kevin Knox,NYK,2021,26,15.3,0.395,0.389,1.9,0.7,0.3,0.2,5.1,SF,8.3,0.531,-2.2,0.05
251,John Konchar,MEM,2021,19,16.2,0.424,0.304,3.6,1.2,0.9,0.3,4.2,SG,12.4,0.534,-1.0,0.12300000000000001
252,Furkan Korkmaz,PHI,2021,25,18.7,0.38299999999999995,0.345,2.4,0.8,0.6,0.2,8.0,SG,9.2,0.52,-3.6,0.033
258,Jake Layman,MIN,2021,24,15.5,0.513,0.319,1.5,0.7,0.8,0.5,6.4,SF,13.1,0.607,-1.4,0.071
260,Damion Lee,GSW,2021,37,19.2,0.446,0.377,3.4,1.4,0.7,0.1,6.4,SG,11.8,0.624,-0.3,0.124
261,Saben Lee,DET,2021,15,15.9,0.5429999999999999,0.667,1.5,2.3,0.7,0.3,7.1,PG,16.3,0.608,-0.5,0.129
262,Alex Len,WAS,2021,27,13.1,0.621,0.3,3.0,0.9,0.3,1.2,5.1,C,15.3,0.654,-0.4,0.105
