,name,team,year,games_played,mpg,fg%,3pfg%,rebounds,assists,steals,blocks,points_per_game,position,player_efficiency,true_shooting,plus_minus,win_shares_percentage,in_playoff
722,Jerami Grant,OKC,2019,80,32.7,0.49700000000000005,0.392,5.2,1.0,0.8,1.3,13.6,PF,13.8,0.5920000000000001,0.2,0.134,1
726,Draymond Green,GSW,2019,66,31.3,0.445,0.285,7.3,6.9,1.4,1.1,7.4,PF,12.9,0.526,1.4,0.1,1
730,Blake Griffin,DET,2019,75,35.0,0.462,0.36200000000000004,7.5,5.4,0.7,0.4,24.5,PF,21.0,0.581,5.1,0.147,1
733,Tim Hardaway Jr.,TOT,2019,65,31.6,0.39299999999999996,0.34,3.4,2.4,0.8,0.1,18.1,SG,13.6,0.527,-2.0,0.043,0
734,James Harden,HOU,2019,78,36.8,0.442,0.368,6.6,7.5,2.0,0.7,36.1,PG,30.6,0.616,11.0,0.254,1
739,Joe Harris,BRK,2019,76,30.2,0.5,0.474,3.8,2.4,0.5,0.2,13.7,SG,13.5,0.645,0.5,0.11599999999999999,1
740,Tobias Harris,TOT,2019,82,34.7,0.48700000000000004,0.397,7.9,2.8,0.6,0.5,20.0,PF,17.2,0.5920000000000001,1.6,0.12,0
752,Buddy Hield,SAC,2019,82,31.9,0.45799999999999996,0.42700000000000005,5.0,2.5,0.7,0.4,20.7,SG,17.5,0.5870000000000001,2.1,0.10800000000000001,0
758,Jrue Holiday,NOP,2019,67,35.9,0.47200000000000003,0.325,5.0,7.7,1.6,0.8,21.2,SG,19.4,0.555,3.0,0.10800000000000001,0
759,Justin Holiday,TOT,2019,82,31.8,0.386,0.348,3.9,1.8,1.5,0.4,10.5,SG,10.0,0.52,-1.8,0.038,0
774,Joe Ingles,UTA,2019,82,31.3,0.44799999999999995,0.391,4.0,5.7,1.2,0.2,12.1,PF,13.4,0.581,1.4,0.113,1
776,Brandon Ingram,LAL,2019,52,33.8,0.49700000000000005,0.33,5.1,3.0,0.5,0.6,18.3,SF,13.4,0.555,-2.0,0.055,0
777,Kyrie Irving,BOS,2019,67,33.0,0.48700000000000004,0.401,5.0,6.9,1.5,0.5,23.8,PG,24.3,0.5920000000000001,7.2,0.19699999999999998,1
786,LeBron James,LAL,2019,55,35.2,0.51,0.33899999999999997,8.5,8.3,1.3,0.6,27.4,SF,25.6,0.588,8.0,0.179,0
797,Nikola Jokić,DEN,2019,80,31.3,0.511,0.307,10.8,7.3,1.4,0.7,20.1,C,26.3,0.589,9.1,0.226,1
819,Kyle Kuzma,LAL,2019,70,33.1,0.456,0.303,5.5,2.5,0.6,0.4,18.7,PF,14.0,0.546,-1.4,0.065,0
822,Zach LaVine,CHI,2019,63,34.5,0.467,0.374,4.7,4.5,1.0,0.4,23.7,SG,18.7,0.574,0.8,0.062,0
829,Kawhi Leonard,TOR,2019,60,34.0,0.496,0.371,7.3,3.3,1.8,0.4,26.6,SF,25.8,0.606,7.2,0.22399999999999998,1
833,Damian Lillard,POR,2019,80,35.5,0.444,0.369,4.6,6.9,1.1,0.4,25.8,PG,23.7,0.588,6.4,0.205,1
841,Kyle Lowry,TOR,2019,65,34.0,0.41100000000000003,0.34700000000000003,4.8,8.7,1.4,0.5,14.2,PG,16.5,0.562,2.3,0.14400000000000002,1
854,Lauri Markkanen,CHI,2019,52,32.3,0.43,0.361,9.0,1.4,0.7,0.6,18.7,PF,17.1,0.5529999999999999,-0.2,0.078,0
858,Wesley Matthews,TOT,2019,69,30.3,0.4,0.37200000000000005,2.5,2.3,0.8,0.2,12.2,SF-SG,10.3,0.546,-1.8,0.062,0
862,CJ McCollum,POR,2019,70,33.9,0.45899999999999996,0.375,4.0,3.0,0.8,0.4,21.0,SG,17.0,0.5529999999999999,1.0,0.114,1
874,Khris Middleton,MIL,2019,77,31.1,0.441,0.37799999999999995,6.0,4.3,1.0,0.1,18.3,SF,16.5,0.5579999999999999,0.8,0.12300000000000001,1
882,Donovan Mitchell,UTA,2019,77,33.7,0.43200000000000005,0.36200000000000004,4.1,4.2,1.4,0.4,23.8,SG,17.2,0.537,1.3,0.092,1
895,Jamal Murray,DEN,2019,75,32.6,0.43700000000000006,0.36700000000000005,4.2,4.8,0.9,0.4,18.2,PG,16.0,0.5379999999999999,0.6,0.1,1
917,Victor Oladipo,IND,2019,36,31.9,0.423,0.34299999999999997,5.6,5.2,1.7,0.3,18.8,SG,17.6,0.519,2.9,0.09699999999999999,1
919,Cedi Osman,CLE,2019,76,32.2,0.42700000000000005,0.348,4.7,2.6,0.8,0.1,13.0,SF,11.5,0.536,-3.2,0.028999999999999998,0
927,Chris Paul,HOU,2019,58,32.0,0.419,0.358,4.6,8.2,2.0,0.3,15.6,PG,19.7,0.56,3.9,0.172,1
936,Otto Porter,TOT,2019,56,30.1,0.465,0.406,5.6,2.1,1.5,0.6,13.9,SF,15.9,0.569,0.9,0.09300000000000001,0
945,Julius Randle,NOP,2019,73,30.6,0.524,0.344,8.7,3.1,0.7,0.6,21.4,PF,21.0,0.6,1.5,0.131,0
946,J.J. Redick,PHI,2019,76,31.3,0.44,0.397,2.4,2.7,0.4,0.2,18.1,SG,15.1,0.602,0.2,0.11800000000000001,1
949,Josh Richardson,MIA,2019,73,34.8,0.41200000000000003,0.35700000000000004,3.6,4.1,1.1,0.5,16.6,SG,14.0,0.536,0.3,0.106,0
962,D'Angelo Russell,BRK,2019,81,30.2,0.434,0.369,3.9,7.0,1.2,0.2,21.1,PG,19.4,0.5329999999999999,3.4,0.09699999999999999,1
972,Collin Sexton,CLE,2019,82,31.8,0.43,0.402,2.9,3.0,0.5,0.1,16.7,PG,12.0,0.52,-4.7,-0.011000000000000001,0
975,Pascal Siakam,TOR,2019,80,31.9,0.5489999999999999,0.369,6.9,3.1,0.9,0.7,16.9,PF,18.7,0.628,2.4,0.175,1
977,Ben Simmons,PHI,2019,79,34.2,0.563,0.0,8.8,7.7,1.4,0.8,16.9,PG,20.0,0.5820000000000001,3.6,0.146,1
995,Jayson Tatum,BOS,2019,79,31.1,0.45,0.373,6.0,2.1,1.1,0.7,15.7,SF,15.1,0.547,-0.2,0.09699999999999999,1
996,Jeff Teague,MIN,2019,42,30.1,0.423,0.33299999999999996,2.5,8.2,1.0,0.4,12.1,PG,15.4,0.528,-0.4,0.085,0
1005,Klay Thompson,GSW,2019,78,34.0,0.467,0.402,3.8,2.4,1.1,0.6,21.5,SG,16.6,0.5710000000000001,-0.3,0.095,1
1009,Karl-Anthony Towns,MIN,2019,77,33.1,0.518,0.4,12.4,3.4,0.9,1.6,24.4,C,26.3,0.622,6.0,0.19699999999999998,0
1012,P.J. Tucker,HOU,2019,82,34.2,0.396,0.377,5.8,1.2,1.6,0.5,7.3,PF,9.2,0.547,-0.6,0.086,1
1021,Nikola Vučević,ORL,2019,80,31.4,0.518,0.364,12.0,3.8,1.0,1.1,20.8,C,25.5,0.573,6.6,0.193,1
1025,Kemba Walker,CHO,2019,82,34.9,0.434,0.35600000000000004,4.4,5.9,1.2,0.4,25.6,PG,21.7,0.5579999999999999,4.2,0.12300000000000001,0
1027,John Wall,WAS,2019,32,34.5,0.444,0.302,3.6,8.7,1.5,0.9,20.7,PG,18.0,0.527,0.9,0.051,0
1030,T.J. Warren,PHO,2019,43,31.6,0.486,0.428,4.0,1.5,1.2,0.7,18.0,SF,16.3,0.58,-0.2,0.07400000000000001,0
1034,Russell Westbrook,OKC,2019,73,36.0,0.428,0.29,11.1,10.7,1.9,0.5,22.9,PG,21.1,0.501,5.2,0.124,1
1038,Andrew Wiggins,MIN,2019,73,34.8,0.41200000000000003,0.33899999999999997,4.8,2.5,1.0,0.7,18.1,SF,12.4,0.493,-3.0,0.012,0
1053,Thaddeus Young,IND,2019,81,30.7,0.527,0.349,6.5,2.5,1.5,0.4,12.6,PF,16.2,0.569,1.5,0.133,1
1054,Trae Young,ATL,2019,81,30.9,0.418,0.324,3.7,8.1,0.9,0.2,19.1,PG,17.0,0.539,-0.6,0.062,0
1061,Steven Adams,OKC,2018,76,32.7,0.629,0.0,9.0,1.2,1.2,1.0,13.9,C,20.6,0.63,1.1,0.187,1
1065,LaMarcus Aldridge,SAS,2018,75,33.5,0.51,0.293,8.5,2.0,0.6,1.2,23.1,C,25.0,0.57,3.9,0.209,1
1069,Al-Farouq Aminu,POR,2018,69,30.0,0.395,0.369,7.6,1.2,1.1,0.6,9.3,PF,12.0,0.522,0.4,0.09699999999999999,1
1074,Giannis Antetokounmpo,MIL,2018,75,36.7,0.529,0.307,10.0,4.8,1.5,1.4,26.9,PF,27.3,0.598,6.2,0.207,1
1075,Carmelo Anthony,OKC,2018,78,32.1,0.40399999999999997,0.35700000000000004,5.8,1.3,0.6,0.6,16.2,PF,12.7,0.503,-1.9,0.071,1
